buyerId,investorId,buyerRisk,investorRisk,buyerBudgetMax,investorMaxDeal,locationMatch,matchScore
HB0012,INV0257,High,Medium,18152602,1946845,0,0.2
HB0219,INV0385,Medium,Low,16997069,5790381,0,0.32
HB0320,INV0410,Low,Low,13183714,1009608,0,0.34
HB0481,INV0099,Low,Low,6503873,1662944,0,0.43
HB0003,INV0044,Medium,Low,9133992,2596329,0,0.29
HB0456,INV0422,Low,High,15959986,3974263,0,0.27
HB0303,INV0060,Low,Medium,12429935,1039585,0,0.19
HB0351,INV0214,High,Low,7868253,5499672,0,0.5
HB0082,INV0033,Medium,Low,10961952,3513896,0,0.31
HB0130,INV0358,Medium,High,7297558,4952747,0,0.49
HB0292,INV0375,High,High,8907739,3311108,0,0.49
HB0161,INV0118,Medium,Low,10368335,2131735,0,0.25
HB0200,INV0026,Low,Medium,12751242,2067062,0,0.23
HB0446,INV0259,Medium,High,15987129,1685315,0,0.2
HB0359,INV0348,Low,Medium,15901328,8355517,0,0.41
HB0067,INV0099,High,Low,16412364,1662944,0,0.2
HB0244,INV0035,Medium,Low,16140621,1928337,0,0.21
HB0327,INV0406,High,High,10562824,3987472,0,0.49
HB0113,INV0165,Medium,Medium,14814058,4509627,0,0.45
HB0005,INV0258,Medium,Low,12574735,1971818,0,0.23
HB0121,INV0317,High,Low,10272487,376833,0,0.17
HB0152,INV0099,Low,Low,15426489,1662944,0,0.35
HB0282,INV0254,High,High,14201970,431348,0,0.32
HB0121,INV0039,High,High,10272487,2184730,0,0.41
HB0236,INV0237,Medium,Low,7200339,5657689,0,0.54
HB0262,INV0414,Medium,Low,14380036,4350760,0,0.3
HB0133,INV0117,High,Low,12497746,1303134,0,0.2
HB0264,INV0248,Medium,Low,13814206,1424893,0,0.2
HB0248,INV0084,Low,Medium,11391059,4406088,0,0.34
HB0330,INV0109,Medium,High,15350888,3193779,0,0.25
HB0129,INV0102,Low,Medium,14037820,433810,0,0.17
HB0056,INV0439,Medium,Medium,11774637,444132,0,0.32
HB0186,INV0326,Low,High,10102675,1543478,0,0.23
HB0164,INV0075,High,Medium,16020135,2180507,0,0.22
HB0365,INV0427,High,High,14248714,3239731,0,0.41
HB0008,INV0306,Low,High,6903358,3301001,0,0.39
HB0097,INV0359,Medium,Low,11197094,2665797,0,0.27
HB0135,INV0253,Low,Low,11091652,3990503,0,0.48
HB0327,INV0246,High,High,10562824,6156372,0,0.59
HB0258,INV0112,High,Low,10020526,4798995,0,0.39
HB0367,INV0407,Medium,Low,16311168,3834856,0,0.27
HB0278,INV0089,High,Medium,8517161,5102425,1,0.65
HB0463,INV0376,Low,Medium,15847064,1271091,0,0.19
HB0341,INV0274,Medium,Medium,10024161,799939,1,0.54
HB0061,INV0276,High,Medium,14629585,870448,0,0.18
HB0090,INV0148,High,Medium,16606629,2381290,0,0.22
HB0331,INV0167,High,Low,10062694,3825786,1,0.54
HB0298,INV0316,Low,High,15856936,2429823,0,0.23
HB0107,INV0016,Low,Medium,10290678,4025279,0,0.35
HB0221,INV0141,Low,Medium,12245996,5881114,1,0.59
HB0142,INV0377,High,Medium,15973941,3730887,0,0.27
HB0390,INV0107,Low,Low,11896176,4920085,0,0.51
HB0181,INV0276,High,Medium,10307823,870448,0,0.19
HB0480,INV0113,High,High,14246422,4027817,0,0.44
HB0357,INV0114,Low,Low,13751323,2409978,0,0.39
HB0351,INV0219,High,High,7868253,2577129,0,0.46
HB0094,INV0132,High,Low,13334722,3012703,0,0.26
HB0345,INV0172,High,Low,13825965,9177542,0,0.48
HB0225,INV0115,Low,Low,7006597,2478912,0,0.48
HB0491,INV0442,Low,High,16742648,562051,0,0.17
HB0210,INV0371,High,High,13085208,4523719,0,0.47
HB0429,INV0070,Medium,Low,13904004,1483079,0,0.2
HB0023,INV0484,Medium,Medium,17458517,1747751,0,0.35
HB0456,INV0300,Low,Low,15959986,2522489,0,0.38
HB0378,INV0007,High,Low,13785633,4009159,0,0.3
HB0229,INV0114,Low,Low,11694828,2409978,0,0.4
HB0295,INV0300,High,Low,10053933,2522489,0,0.28
HB0478,INV0335,Low,Low,12209041,5140821,0,0.51
HB0096,INV0440,High,Low,17903427,676709,0,0.17
HB0008,INV0214,Low,Low,6903358,5499672,0,0.7
HB0007,INV0054,Medium,Low,8626154,2543516,0,0.3
HB0139,INV0244,Medium,High,14618518,3609016,0,0.27
HB0223,INV0495,Medium,Medium,14687928,4750887,0,0.46
HB0168,INV0495,Low,Medium,8845191,4750887,0,0.42
HB0037,INV0397,Low,Medium,18013111,6063398,0,0.32
HB0256,INV0144,Medium,High,12425053,2764892,0,0.26
HB0021,INV0164,High,Low,15398386,4085430,0,0.28
HB0028,INV0426,Medium,Low,14929039,2792585,0,0.24
HB0046,INV0370,High,High,17336160,1454120,0,0.34
HB0361,INV0298,Low,Low,10365162,330565,0,0.32
HB0093,INV0247,Low,High,9848853,3713404,1,0.54
HB0192,INV0185,High,Low,14577364,2447322,0,0.23
HB0291,INV0029,Low,Medium,12702848,2713895,0,0.26
HB0205,INV0395,High,High,16147537,5863753,0,0.48
HB0224,INV0141,Medium,Medium,12360258,5881114,0,0.54
HB0027,INV0134,Medium,High,14181884,3844273,0,0.29
HB0372,INV0028,Medium,Medium,18706503,1026093,0,0.33
HB0156,INV0019,Low,High,18191127,4089371,0,0.26
HB0068,INV0233,Low,High,18321925,5053877,0,0.29
HB0486,INV0128,High,Medium,15616840,2079603,0,0.22
HB0231,INV0222,Low,High,10645363,3173921,0,0.3
HB0499,INV0058,Low,High,13831808,3515860,0,0.28
HB0214,INV0490,Low,High,12992398,2698905,0,0.25
HB0122,INV0191,Low,Low,6922611,988056,0,0.37
HB0497,INV0429,Medium,High,11585640,4404485,0,0.34
HB0225,INV0422,Low,High,7006597,3974263,0,0.43
HB0485,INV0296,Low,High,7113059,3136516,0,0.37
HB0010,INV0078,High,High,18305223,2435598,0,0.37
HB0448,INV0136,Low,Low,16984289,388609,0,0.31
HB0170,INV0011,High,Low,11304984,3777114,0,0.32
HB0086,INV0206,Low,Low,6777741,513878,0,0.34
HB0082,INV0255,Medium,High,10961952,2550835,0,0.27
HB0413,INV0045,Low,High,14093934,2639994,0,0.24
HB0190,INV0091,Low,Low,16125517,1040847,0,0.33
HB0025,INV0486,High,Medium,17195030,931821,0,0.18
HB0430,INV0330,Low,Low,14985995,586242,0,0.32
HB0394,INV0057,Medium,Low,12640519,3546692,0,0.29
HB0275,INV0121,Medium,High,8000888,5677674,0,0.5
HB0157,INV0221,Medium,High,8105688,6157076,0,0.53
HB0434,INV0055,Low,High,9386697,4090715,0,0.37
HB0470,INV0211,Low,Medium,15447686,1172136,0,0.19
HB0074,INV0036,High,Medium,11477940,1412482,0,0.21
HB0064,INV0410,Low,Low,9739414,1009608,0,0.35
HB0055,INV0231,High,Low,14803256,746652,0,0.18
HB0035,INV0382,Low,Medium,10949587,4387777,0,0.35
HB0280,INV0364,Low,High,11299179,2220760,1,0.45
HB0226,INV0036,Medium,Medium,8695228,1412482,0,0.38
HB0155,INV0064,Low,High,8391510,1945199,0,0.27
HB0404,INV0240,Medium,Low,18220553,1931297,0,0.2
HB0374,INV0314,High,Low,13257876,6645707,0,0.4
HB0243,INV0082,Low,Low,8881272,1241134,0,0.37
HB0086,INV0172,Low,Low,6777741,9177542,0,0.62
HB0006,INV0010,High,Medium,13646848,1250116,0,0.2
HB0361,INV0271,Low,Low,10365162,1678373,0,0.38
HB0411,INV0225,High,Medium,18112031,595249,0,0.17
HB0138,INV0403,Low,High,8562811,1903921,0,0.26
HB0293,INV0365,Medium,Medium,11260599,700850,0,0.33
HB0081,INV0354,High,Medium,17002667,6704735,0,0.35
HB0229,INV0448,Low,Low,11694828,301599,1,0.51
HB0358,INV0214,Medium,Low,13639498,5499672,0,0.35
HB0388,INV0136,Medium,Low,12120676,388609,0,0.17
HB0249,INV0186,Medium,Low,9039685,421979,0,0.17
HB0459,INV0449,Low,High,12105939,5031589,0,0.36
HB0068,INV0091,Low,Low,18321925,1040847,1,0.53
HB0035,INV0193,Low,High,10949587,1618866,0,0.22
HB0155,INV0475,Low,High,8391510,5299126,1,0.67
HB0004,INV0375,Medium,High,15283380,3311108,0,0.26
HB0246,INV0326,Low,High,10947173,1543478,0,0.22
HB0208,INV0376,Medium,Medium,15395280,1271091,1,0.54
HB0471,INV0483,Low,Low,9066318,1719721,0,0.39
HB0091,INV0140,High,Low,11421052,2761467,0,0.27
HB0425,INV0247,High,High,14465530,3713404,0,0.43
HB0048,INV0498,Low,Low,12410386,5260900,0,0.51
HB0382,INV0415,High,Low,12289328,2899420,0,0.27
HB0112,INV0039,High,High,8556549,2184730,0,0.43
HB0196,INV0220,Low,High,11043391,1610574,1,0.42
HB0419,INV0200,Medium,High,15079683,390062,0,0.16
HB0449,INV0415,Low,Low,17106075,2899420,0,0.38
HB0197,INV0317,Medium,Low,11306425,376833,1,0.37
HB0093,INV0032,Low,Low,9848853,1464481,0,0.37
HB0283,INV0003,High,Low,11822656,598310,0,0.18
HB0274,INV0332,Medium,Low,18055319,4042178,0,0.26
HB0127,INV0008,Low,High,17137215,5983749,0,0.32
HB0473,INV0178,High,Medium,15202939,4428799,0,0.3
HB0344,INV0334,Low,Low,18163060,5760792,0,0.46
HB0257,INV0316,Medium,High,9480207,2429823,0,0.28
HB0276,INV0342,Medium,Low,16430383,4410865,0,0.28
HB0212,INV0206,Medium,Low,14852839,513878,0,0.17
HB0401,INV0362,Low,High,10706886,3314121,0,0.3
HB0309,INV0019,Low,High,11839201,4089371,0,0.32
HB0043,INV0102,Medium,Medium,11061394,433810,1,0.52
HB0459,INV0407,Low,Low,12105939,3834856,0,0.46
HB0450,INV0291,Medium,High,11477858,1807756,0,0.23
HB0301,INV0302,High,High,8789447,3949250,0,0.52
HB0236,INV0213,Medium,Low,7200339,4657296,0,0.47
HB0383,INV0423,Low,Medium,7774625,390554,0,0.18
HB0449,INV0438,Low,Medium,17106075,3838110,0,0.26
HB0069,INV0033,Low,Low,13128896,3513896,0,0.43
HB0205,INV0396,High,Low,16147537,1697585,0,0.2
HB0332,INV0493,High,Medium,12067811,4529771,0,0.34
HB0035,INV0407,Low,Low,10949587,3834856,0,0.48
HB0451,INV0201,Medium,High,9138538,4363784,0,0.39
HB0070,INV0410,High,Low,10144818,1009608,0,0.2
HB0470,INV0237,Low,Low,15447686,5657689,0,0.48
HB0306,INV0490,High,High,11326092,2698905,0,0.42
HB0215,INV0275,Medium,High,13606288,2801639,1,0.45
HB0378,INV0333,High,Low,13785633,1861453,0,0.22
HB0245,INV0496,Medium,Medium,11267012,3165529,0,0.44
HB0222,INV0149,High,High,12658870,1614363,0,0.36
HB0210,INV0178,High,Medium,13085208,4428799,0,0.32
HB0154,INV0243,High,Low,9638089,4088897,0,0.36
HB0163,INV0027,High,High,9200109,5844797,0,0.62
HB0218,INV0331,High,Low,9666887,1660893,0,0.24
HB0466,INV0079,High,Medium,15577519,2396308,0,0.23
HB0005,INV0256,Medium,Medium,12574735,882180,0,0.34
HB0274,INV0387,Medium,Medium,18055319,5805578,0,0.46
HB0454,INV0459,Low,Low,9306228,4059458,1,0.72
HB0354,INV0465,Low,Low,9540002,7204810,0,0.68
HB0406,INV0499,High,Low,13343681,4253488,0,0.31
HB0058,INV0206,Medium,Low,8204371,513878,0,0.18
HB0490,INV0484,Medium,Medium,14832024,1747751,0,0.36
HB0299,INV0422,Medium,High,13208847,3974263,0,0.3
HB0429,INV0038,Medium,Low,13904004,5183808,0,0.34
HB0222,INV0099,High,Low,12658870,1662944,0,0.22
HB0493,INV0224,High,Medium,17745535,716609,0,0.17
HB0387,INV0051,Medium,Low,11528928,574859,0,0.17
HB0327,INV0403,High,High,10562824,1903921,0,0.39
HB0225,INV0086,Low,Medium,7006597,1195787,0,0.24
HB0154,INV0189,High,Medium,9638089,1151588,0,0.21
HB0442,INV0008,High,High,14682497,5983749,0,0.5
HB0051,INV0367,Low,Low,9790249,2127529,0,0.41
HB0079,INV0129,Low,High,13815607,630268,0,0.17
HB0222,INV0033,High,Low,12658870,3513896,0,0.29
HB0399,INV0423,Medium,Medium,18854241,390554,0,0.31
HB0229,INV0004,Low,Medium,11694828,7361657,0,0.46
HB0461,INV0450,High,Medium,12454050,2279445,0,0.24
HB0393,INV0480,Low,High,8859481,4409373,0,0.4
HB0144,INV0097,Low,High,14931614,8251398,0,0.43
HB0424,INV0291,High,High,14971983,1807756,1,0.56
HB0324,INV0451,High,Medium,13612204,1035342,0,0.19
HB0386,INV0322,Low,High,15150837,1627716,0,0.2
HB0433,INV0190,Low,Medium,11482383,2664033,0,0.27
HB0398,INV0232,Low,High,8743150,2518485,0,0.29
HB0308,INV0209,Medium,High,13650027,1753093,0,0.21
HB0368,INV0013,Medium,High,13121769,5853785,0,0.37
HB0332,INV0234,High,Low,12067811,5277170,0,0.37
HB0146,INV0188,Medium,Medium,16140439,4847218,0,0.45
HB0163,INV0224,High,Medium,9200109,716609,0,0.19
HB0164,INV0316,High,High,16020135,2429823,0,0.38
HB0146,INV0186,Medium,Low,16140439,421979,0,0.16
HB0406,INV0426,High,Low,13343681,2792585,0,0.25
HB0166,INV0179,High,Medium,17778832,3794696,0,0.26
HB0463,INV0066,Low,Medium,15847064,8334216,0,0.41
HB0196,INV0445,Low,Medium,11043391,2036523,0,0.24
HB0395,INV0329,Low,Low,13511705,5721494,0,0.51
HB0462,INV0227,High,Low,17898737,1969881,0,0.21
HB0144,INV0325,Low,Medium,14931614,5323813,0,0.33
HB0430,INV0248,Low,Low,14985995,1424893,0,0.35
HB0145,INV0294,Low,Low,10729532,4168290,0,0.49
HB0112,INV0150,High,Low,8556549,5583098,0,0.48
HB0101,INV0083,Low,Medium,14004341,4219362,1,0.5
HB0380,INV0355,Low,High,17008534,1359049,0,0.19
HB0106,INV0022,High,Medium,12375006,8982273,0,0.51
HB0272,INV0112,Low,Low,8418163,4798995,0,0.59
HB0250,INV0372,High,Low,15031105,2906025,0,0.25
HB0099,INV0273,High,High,16004629,555679,0,0.32
HB0249,INV0180,Medium,Medium,9039685,3529705,0,0.5
HB0195,INV0446,High,Low,18285556,996845,0,0.18
HB0345,INV0116,High,Low,13825965,5944951,0,0.36
HB0205,INV0211,High,Medium,16147537,1172136,0,0.19
HB0474,INV0100,High,Low,13158181,4758850,0,0.33
HB0213,INV0358,Low,High,7801998,4952747,0,0.47
HB0055,INV0178,High,Medium,14803256,4428799,0,0.3
HB0197,INV0023,Medium,Medium,11306425,2889040,0,0.43
HB0253,INV0479,High,Medium,15082376,3005680,0,0.25
HB0126,INV0139,Medium,Low,7651857,6592694,0,0.58
HB0252,INV0016,Low,Medium,18583032,4025279,0,0.26
HB0107,INV0143,Low,Low,10290678,890075,0,0.34
HB0168,INV0122,Low,High,8845191,7062362,0,0.55
HB0298,INV0475,Low,High,15856936,5299126,0,0.32
HB0130,INV0139,Medium,Low,7297558,6592694,0,0.6
HB0179,INV0003,Medium,Low,12299334,598310,0,0.17
HB0458,INV0470,Low,High,17629292,4776606,0,0.29
HB0322,INV0007,Low,Low,17869143,4009159,1,0.61
HB0147,INV0121,Low,High,10180436,5677674,0,0.43
HB0299,INV0228,Medium,High,13208847,5775239,0,0.37
HB0177,INV0110,High,High,14704525,5037235,0,0.47
HB0390,INV0262,Low,Medium,11896176,1286937,0,0.2
HB0134,INV0243,High,Low,12965297,4088897,0,0.31
HB0109,INV0496,Medium,Medium,14352953,3165529,0,0.41
HB0076,INV0023,High,Medium,14170043,2889040,0,0.25
HB0168,INV0007,Low,Low,8845191,4009159,0,0.53
HB0253,INV0021,High,High,15082376,4668107,0,0.45
HB0225,INV0110,Low,High,7006597,5037235,0,0.51
HB0287,INV0064,High,High,11204077,1945199,0,0.39
HB0431,INV0288,Medium,High,12067334,3658729,0,0.3
HB0410,INV0166,High,Low,12047613,956187,0,0.19
HB0258,INV0415,High,Low,10020526,2899420,0,0.29
HB0443,INV0054,High,Low,10930724,2543516,0,0.27
HB0336,INV0346,Medium,High,6698076,1062433,0,0.23
HB0492,INV0440,Medium,Low,14308093,676709,0,0.17
HB0108,INV0314,Low,Low,10979848,6645707,0,0.6
HB0147,INV0367,Low,Low,10180436,2127529,0,0.4
HB0433,INV0020,Low,Medium,11482383,7970777,0,0.5
HB0077,INV0137,Low,Medium,16312190,875018,0,0.18
HB0181,INV0328,High,Medium,10307823,4667722,0,0.38
HB0488,INV0437,Medium,High,7894191,2608447,0,0.32
HB0101,INV0188,Low,Medium,14004341,4847218,0,0.32
HB0248,INV0038,Low,Low,11391059,5183808,0,0.53
HB0348,INV0225,Medium,Medium,10590356,595249,0,0.33
HB0036,INV0080,Low,High,13363111,509879,0,0.17
HB0248,INV0087,Low,High,11391059,5216989,0,0.38
HB0447,INV0429,Low,High,13389959,4404485,0,0.31
HB0090,INV0361,High,Low,16606629,1848674,0,0.21
HB0129,INV0408,Low,High,14037820,2951938,0,0.26
HB0330,INV0432,Medium,Low,15350888,1769199,1,0.41
HB0417,INV0183,High,High,8914932,5796919,0,0.63
HB0263,INV0107,High,Low,10395874,4920085,0,0.39
HB0321,INV0385,Low,Low,14355215,5790381,0,0.5
HB0217,INV0123,High,High,7372684,442032,0,0.33
HB0399,INV0115,Medium,Low,18854241,2478912,0,0.22
HB0164,INV0213,High,Low,16020135,4657296,0,0.3
HB0117,INV0245,High,High,17220477,6677674,0,0.49
HB0431,INV0338,Medium,High,12067334,587124,0,0.17
HB0012,INV0065,High,Low,18152602,7989825,0,0.37
HB0186,INV0275,Low,High,10102675,2801639,0,0.29
HB0151,INV0122,Low,High,17698404,7062362,0,0.35
HB0308,INV0438,Medium,Medium,13650027,3838110,0,0.44
HB0434,INV0331,Low,Low,9386697,1660893,0,0.39
HB0380,INV0363,Low,Medium,17008534,5623115,0,0.32
HB0329,INV0251,Medium,Medium,8727428,4922483,0,0.58
HB0433,INV0062,Low,High,11482383,3231044,0,0.29
HB0106,INV0490,High,High,12375006,2698905,0,0.41
HB0206,INV0243,Medium,Low,12203461,4088897,0,0.32
HB0105,INV0305,High,Medium,12201213,1844342,0,0.23
HB0095,INV0203,Medium,Low,11789648,5177951,0,0.37
HB0137,INV0185,High,Low,11523473,2447322,1,0.46
HB0251,INV0485,Medium,Medium,18666883,726139,0,0.32
HB0251,INV0440,Medium,Low,18666883,676709,1,0.37
HB0434,INV0030,Low,High,9386697,1808767,0,0.25
HB0023,INV0082,Medium,Low,17458517,1241134,0,0.19
HB0314,INV0148,High,Medium,10273903,2381290,0,0.27
HB0294,INV0165,Low,Medium,11571013,4509627,0,0.34
HB0088,INV0406,High,High,14776300,3987472,0,0.43
HB0015,INV0084,High,Medium,10388959,4406088,0,0.36
HB0093,INV0291,Low,High,9848853,1807756,0,0.24
HB0149,INV0372,Medium,Low,8662540,2906025,0,0.32
HB0003,INV0354,Medium,Medium,9133992,6704735,0,0.67
HB0359,INV0290,Low,High,15901328,4118224,0,0.28
HB0274,INV0253,Medium,Low,18055319,3990503,0,0.26
HB0069,INV0209,Low,High,13128896,1753093,0,0.22
HB0047,INV0217,Medium,High,15682236,3151945,0,0.25
HB0136,INV0125,Low,Low,17839691,3399548,0,0.4
HB0168,INV0370,Low,High,8845191,1454120,0,0.23
HB0359,INV0193,Low,High,15901328,1618866,0,0.2
HB0484,INV0318,High,Low,18750382,323576,0,0.16
HB0029,INV0015,High,Medium,9835094,2162327,0,0.26
HB0347,INV0158,Low,High,19463674,382395,0,0.16
HB0249,INV0281,Medium,Low,9039685,4577719,0,0.4
HB0077,INV0108,Low,High,16312190,3947645,0,0.27
HB0441,INV0400,Medium,High,15515133,1425599,0,0.2
HB0071,INV0215,Medium,Medium,15250721,4267098,0,0.44
HB0241,INV0338,Medium,High,15430682,587124,0,0.17
HB0235,INV0304,Medium,Medium,16740150,2488985,0,0.37
HB0498,INV0223,Low,Low,9349705,2657238,0,0.44
HB0491,INV0400,Low,High,16742648,1425599,0,0.19
HB0077,INV0195,Low,Low,16312190,1072569,0,0.33
HB0210,INV0295,High,Low,13085208,6036444,0,0.38
HB0214,INV0114,Low,Low,12992398,2409978,0,0.39
HB0356,INV0397,Medium,Medium,15172712,6063398,0,0.5
HB0017,INV0201,Medium,High,17678964,4363784,1,0.47
HB0002,INV0185,Medium,Low,11897193,2447322,1,0.45
HB0478,INV0249,Low,Medium,12209041,2421948,0,0.25
HB0180,INV0090,Low,Low,12313908,6823195,1,0.78
HB0299,INV0124,Medium,Low,13208847,4841644,0,0.33
HB0427,INV0232,Low,High,15710679,2518485,0,0.23
HB0094,INV0316,High,High,13334722,2429823,0,0.39
HB0096,INV0444,High,High,17903427,790762,0,0.32
HB0449,INV0012,Low,Low,17106075,1185810,0,0.33
HB0335,INV0386,Low,Medium,12495297,5335834,0,0.36
HB0406,INV0318,High,Low,13343681,323576,0,0.16
HB0442,INV0042,High,Medium,14682497,6455027,0,0.37
HB0397,INV0399,Low,High,12290614,9469744,0,0.54
HB0495,INV0341,Medium,Low,16246732,5200417,0,0.31
HB0138,INV0295,Low,Low,8562811,6036444,0,0.65
HB0273,INV0239,Low,Low,14661975,3242073,0,0.41
HB0142,INV0390,High,Low,15973941,4020908,0,0.28
HB0347,INV0440,Low,Low,19463674,676709,0,0.32
HB0073,INV0313,Low,Medium,13489762,706294,0,0.18
HB0366,INV0315,Medium,Low,15401111,1052521,0,0.18
HB0253,INV0285,High,High,15082376,9760444,0,0.62
HB0434,INV0472,Low,Medium,9386697,5943504,0,0.47
HB0257,INV0244,Medium,High,9480207,3609016,0,0.34
HB0480,INV0206,High,Low,14246422,513878,0,0.17
HB0064,INV0015,Low,Medium,9739414,2162327,0,0.26
HB0184,INV0446,High,Low,8050871,996845,0,0.21
HB0409,INV0102,Medium,Medium,14833101,433810,0,0.31
HB0248,INV0192,Low,Medium,11391059,2254055,0,0.25
HB0434,INV0498,Low,Low,9386697,5260900,0,0.58
HB0022,INV0243,Medium,Low,15090002,4088897,0,0.29
HB0209,INV0005,Low,Low,13201214,7241671,0,0.57
HB0094,INV0217,High,High,13334722,3151945,1,0.62
HB0142,INV0383,High,Medium,15973941,2453606,1,0.43
HB0339,INV0409,Low,Low,8827861,1000596,0,0.36
HB0089,INV0497,Medium,Low,15454849,8009677,0,0.41
HB0060,INV0003,Low,Low,17003070,598310,0,0.32
HB0102,INV0039,Low,High,7045395,2184730,0,0.31
HB0375,INV0181,Medium,Medium,13658639,848173,0,0.33
HB0403,INV0102,Low,Medium,17075347,433810,0,0.16
HB0300,INV0497,Low,Low,17651233,8009677,0,0.53
HB0144,INV0226,Low,Medium,14931614,3397087,0,0.26
HB0346,INV0297,Medium,High,17046944,929488,0,0.18
HB0123,INV0334,Medium,Low,17294457,5760792,0,0.32
HB0241,INV0143,Medium,Low,15430682,890075,0,0.18
HB0115,INV0396,Medium,Low,8613389,1697585,0,0.25
HB0358,INV0080,Medium,High,13639498,509879,0,0.17
HB0253,INV0358,High,High,15082376,4952747,0,0.46
HB0061,INV0165,High,Medium,14629585,4509627,0,0.3
HB0314,INV0364,High,High,10273903,2220760,0,0.41
HB0127,INV0121,Low,High,17137215,5677674,0,0.32
HB0121,INV0195,High,Low,10272487,1072569,0,0.2
HB0417,INV0482,High,Low,8914932,3666996,0,0.36
HB0288,INV0067,High,Low,15313993,1909098,0,0.21
HB0386,INV0233,Low,High,15150837,5053877,0,0.32
HB0223,INV0332,Medium,Low,14687928,4042178,0,0.29
HB0405,INV0339,High,High,15401790,1997036,0,0.36
HB0225,INV0200,Low,High,7006597,390062,0,0.18
HB0117,INV0167,High,Low,17220477,3825786,1,0.46
HB0294,INV0093,Low,Low,11571013,3498574,1,0.65
HB0282,INV0071,High,Medium,14201970,4782428,0,0.32
HB0429,INV0158,Medium,High,13904004,382395,1,0.36
HB0154,INV0113,High,High,9638089,4027817,0,0.51
HB0178,INV0309,Medium,Medium,16657960,6221007,0,0.49
HB0354,INV0021,Low,High,9540002,4668107,0,0.39
HB0337,INV0135,Medium,Medium,12504417,4327041,0,0.47
