Price,Area,Location,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Price_per_SqFt,Area_per_Bedroom,Amenity_Score
10500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9130.434782608696,575.0,11
8000000,1250,Sector 18 Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0,6400.0,625.0,9
8500000,990,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8585.858585858587,495.0,13
9300000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8627.08719851577,539.0,12
9900000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1,8608.695652173914,575.0,10
8000000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,6956.521739130435,575.0,11
9000000,1060,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,8490.566037735849,530.0,10
4200000,680,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6176.470588235294,680.0,5
28000000,2470,Kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11336.032388663967,617.5,13
40000000,2100,Kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0,19047.619047619046,525.0,5
16000000,2200,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7272.727272727273,550.0,11
17000000,2235,Kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1,7606.263982102908,558.75,11
9500000,1025,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9268.292682926829,512.5,12
9500000,950,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10000.0,475.0,9
7500000,895,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,8379.888268156425,447.5,6
8500000,1114,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,7630.16157989228,557.0,13
13000000,1197,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,10860.484544695071,598.5,10
13700000,1380,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,9927.536231884058,690.0,12
8000000,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7619.047619047619,525.0,4
10500000,1240,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8467.741935483871,620.0,12
7700000,1110,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,6936.936936936937,555.0,11
7500000,1050,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0,7142.857142857143,525.0,6
9000000,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1,7758.620689655172,580.0,11
6000000,555,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,10810.81081081081,555.0,6
6200000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,9538.461538461539,650.0,5
5000000,600,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,8333.333333333334,600.0,7
6500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,10000.0,650.0,5
5200000,700,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7428.571428571428,700.0,11
4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,6501.547987616099,646.0,5
5500000,560,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0,9821.42857142857,560.0,6
5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,8208.955223880597,670.0,9
6000000,740,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,8108.108108108108,740.0,11
5500000,636,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8647.798742138364,636.0,11
4200000,680,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6176.470588235294,680.0,4
16500000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1,10091.743119266055,545.0,9
11399999,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0,7354.838064516129,516.6666666666666,9
13500000,1500,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9000.0,500.0,9
22500000,1850,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,12162.162162162162,616.6666666666666,11
40000000,2100,Kharghar,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1,19047.619047619046,525.0,9
5700000,610,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,9344.262295081968,610.0,11
4800000,655,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,7328.244274809161,655.0,3
4500000,660,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6818.181818181818,660.0,4
4300000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6615.384615384615,650.0,4
4500000,680,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,6617.64705882353,680.0,8
5300000,670,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1,7910.44776119403,670.0,9
4803000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7332.824427480916,655.0,4
13000000,1800,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,7222.222222222223,600.0,9
15500000,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9422.492401215806,548.3333333333334,9
13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9318.996415770609,465.0,10
8500000,1150,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,7391.304347826087,575.0,10
9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1,7833.333333333333,600.0,10
4500000,615,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7317.073170731707,615.0,4
5300000,670,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,7910.44776119403,670.0,11
6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7843.137254901961,765.0,11
5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,8615.384615384615,650.0,10
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,9943.181818181818,586.6666666666666,9
12000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8480.565371024735,471.6666666666667,12
15000000,1685,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8902.077151335312,561.6666666666666,12
13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,7222.222222222223,600.0,10
16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,10060.60606060606,550.0,9
13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,9318.996415770609,465.0,9
9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7833.333333333333,600.0,11
5700000,650,Kharghar,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,8769.23076923077,650.0,7
5500000,560,Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,9821.42857142857,560.0,7
6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,7843.137254901961,765.0,12
5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8615.384615384615,650.0,11
4900000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7480.916030534351,655.0,4
13500000,1390,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9712.230215827338,463.3333333333333,10
22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,13836.477987421384,530.0,13
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1,9943.181818181818,586.6666666666666,10
17800000,1716,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1,10372.960372960373,572.0,11
14000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8333.333333333334,560.0,12
7200000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,6857.142857142857,525.0,12
7000000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0,6363.636363636364,550.0,7
15000000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1,9174.311926605504,545.0,10
10000000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9276.437847866418,539.0,12
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1,9943.181818181818,586.6666666666666,10
11000000,1415,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1,7773.851590106007,471.6666666666667,11
13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7222.222222222223,600.0,11
12500000,1147,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,10897.994768962511,573.5,11
13000000,1197,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1,10860.484544695071,598.5,9
15000000,1300,Kharghar,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1,11538.461538461539,433.3333333333333,8
7500000,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,7142.857142857143,525.0,5
9500000,1240,Kharghar,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1,7661.290322580645,620.0,11
5500000,650,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,8461.538461538461,650.0,7
5000000,600,Sector 20 Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,8333.333333333334,600.0,6
5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9090.90909090909,550.0,4
5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,10000.0,550.0,11
4200000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,6461.538461538462,650.0,5
4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,6501.547987616099,646.0,6
6000000,740,Kharghar,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8108.108108108108,740.0,12
5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8771.929824561403,570.0,4
5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,8208.955223880597,670.0,9
4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,6718.75,640.0,8
15500000,1700,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,9117.64705882353,566.6666666666666,11
11399999,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7354.838064516129,516.6666666666666,6
12000000,1530,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,7843.137254901961,510.0,10
16000000,1750,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0,9142.857142857143,583.3333333333334,6
22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1,13836.477987421384,530.0,11
11000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,7773.851590106007,471.6666666666667,12
16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,10060.60606060606,550.0,10
14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8298.755186721992,562.3333333333334,13
8500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,7391.304347826087,575.0,11
6000000,555,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10810.81081081081,555.0,4
4900000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,8166.666666666667,600.0,10
4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6501.547987616099,646.0,4
4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6923.076923076923,650.0,4
4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,6718.75,640.0,9
5500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,8461.538461538461,650.0,7
13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,9642.857142857143,466.6666666666667,11
15000000,1780,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,8426.966292134832,593.3333333333334,9
14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8298.755186721992,562.3333333333334,12
6900000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6272.727272727273,550.0,6
8300000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,7904.761904761905,525.0,12
9000000,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,7758.620689655172,580.0,10
5100000,700,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,7285.714285714285,700.0,7
5200000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,8320.0,625.0,9
5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,8208.955223880597,670.0,10
5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,10000.0,550.0,10
5400000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8307.692307692309,650.0,5
5300000,660,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8030.30303030303,660.0,11
5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,10000.0,550.0,10
5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8771.929824561403,570.0,5
14000000,1550,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9032.258064516129,516.6666666666666,12
17100000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,9715.90909090909,586.6666666666666,9
11800000,1475,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8000.0,491.6666666666667,12
6000000,759,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7905.138339920949,759.0,11
4850000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,8083.333333333333,600.0,10
4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,8181.818181818182,550.0,5
4100000,620,Kharghar,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,6612.903225806452,620.0,7
5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,9090.90909090909,550.0,5
5500000,745,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,7382.5503355704695,745.0,8
4500000,580,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,7758.620689655172,580.0,3
5300000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,7910.44776119403,670.0,10
19000000,1845,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,10298.10298102981,615.0,11
13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9642.857142857143,466.6666666666667,10
13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8095.238095238095,560.0,13
15500000,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,9422.492401215806,548.3333333333334,10
16500000,1585,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,10410.094637223974,528.3333333333334,10
8600000,1350,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6370.37037037037,675.0,6
10000000,1075,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9302.32558139535,537.5,12
10500000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9090.90909090909,577.5,13
4700000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,7520.0,625.0,10
6200000,720,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,8611.111111111111,720.0,10
4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8181.818181818182,550.0,4
6900000,735,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,9387.755102040815,735.0,11
4500000,580,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7758.620689655172,580.0,4
10000000,1505,Kharghar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,6644.518272425249,501.6666666666667,5
13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7975.460122699386,543.3333333333334,6
11000000,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0,7096.774193548387,516.6666666666666,9
13000000,1455,Sector 18 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8934.707903780069,485.0,5
10500000,1098,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,9562.841530054644,549.0,10
13000000,1210,Sector 15 Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,10743.801652892562,605.0,9
9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9500.0,500.0,9
4500000,550,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8181.818181818182,550.0,5
13000000,1630,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,7975.460122699386,543.3333333333334,5
13600000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8095.238095238095,560.0,12
16200000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9818.181818181818,550.0,9
15000000,1440,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,10416.666666666666,480.0,12
13200000,1370,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9635.036496350365,456.6666666666667,10
7500000,1022,Sector 18 Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7338.5518590998045,511.0,4
9500000,1000,Kharghar,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1,9500.0,500.0,8
15000000,1760,Kharghar,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1,8522.727272727272,586.6666666666666,8
7500000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1,6818.181818181818,550.0,7
13000000,1550,Sector 20 Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1,8387.09677419355,516.6666666666666,9
16200000,1675,Kharghar,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1,9671.641791044776,558.3333333333334,11
11000000,1060,Kharghar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10377.358490566037,530.0,2
11600000,1150,Kharghar,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1,10086.95652173913,575.0,10
5600000,670,Kharghar,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,8358.208955223881,670.0,9
8000000,900,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,8888.888888888889,450.0,12
9500000,1088,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0,8731.617647058823,544.0,9
2018000,375,Dombivali,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5381.333333333333,375.0,1
65000000,1200,Churchgate,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54166.666666666664,600.0,1
45000000,1717,Prabhadevi,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,26208.5032032615,572.3333333333334,2
16500000,750,Jogeshwari West,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22000.0,375.0,2
2375000,525,Kalyan East,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,4523.809523809524,525.0,9
19500000,1200,Malad East,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16250.0,600.0,0
2000000,420,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4761.9047619047615,420.0,0
2500000,540,Virar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629.62962962963,540.0,0
2250000,415,Virar East,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5421.686746987952,415.0,0
2700000,650,Virar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4153.846153846154,650.0,0
22000000,1100,Malad West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,20000.0,550.0,12
17000000,1105,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,15384.615384615385,552.5,12
43500000,2600,Malad East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,16730.76923076923,866.6666666666666,12
4760000,700,Mira Road East,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,6800.0,700.0,5
18100000,1296,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13966.04938271605,648.0,12
23800000,1638,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14529.91452991453,546.0,12
21200000,1465,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14470.98976109215,488.3333333333333,12
8600000,700,Borivali East,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,12285.714285714286,700.0,12
36500000,2030,Goregaon West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17980.295566502464,676.6666666666666,12
23700000,1450,Malad West,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1,16344.827586206897,483.3333333333333,9
21400000,1100,Malad West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19454.545454545456,550.0,12
12500000,800,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15625.0,400.0,12
18000000,1500,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,12000.0,500.0,12
13200000,1100,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,12000.0,550.0,12
35300000,1962,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17991.845056065238,654.0,12
15300000,950,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,16105.263157894737,475.0,12
25000000,1440,Kandivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17361.11111111111,480.0,12
13899999,1200,Kandivali West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11583.3325,600.0,12
33500000,1785,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18767.50700280112,595.0,12
14500000,775,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18709.677419354837,387.5,12
9000000,765,Kandivali West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11764.70588235294,765.0,12
13500000,910,Goregaon West,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14835.164835164835,455.0,12
9000000,640,Goregaon West,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14062.5,640.0,12
21600000,1264,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17088.607594936708,632.0,12
13700000,1056,Kandivali West,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12973.484848484848,528.0,12
27799999,1810,Kandivali East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15359.11546961326,603.3333333333334,12
27900000,1656,Goregaon West,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,16847.82608695652,552.0,12
81600000,3888,Goregaon West,4,0,1,1,1,1,1,1,1,1,1,1,0,1,1,20987.654320987655,972.0,12
38600000,2030,Borivali West,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19014.778325123152,676.6666666666666,12
17000000,1114,Andheri East,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1,15260.32315978456,371.3333333333333,9
60100000,3585,Goregaon West,4,1,1,1,1,1,1,0,1,1,1,1,0,1,1,16764.295676429567,896.25,11
27900000,1404,Goregaon East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19871.79487179487,702.0,12
31500000,1620,Goregaon East,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19444.444444444445,540.0,12
37500000,2780,Malad East,4,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13489.208633093525,695.0,12
31000000,1672,Malad East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,18540.66985645933,557.3333333333334,12
21100000,1200,Malad East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,17583.333333333332,600.0,12
16500000,1200,Malad East,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13750.0,600.0,12
16000000,1250,Borivali East,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,12800.0,625.0,12
26000000,1840,Borivali East,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,14130.434782608696,613.3333333333334,12
15200000,1170,Malad West,2,0,1,1,1,0,1,1,1,1,1,0,0,1,1,12991.452991452992,585.0,10
2300000,310,Kharghar,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7419.354838709677,310.0,2
33000000,1245,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1,26506.024096385543,415.0,11
29000000,1153,Wadala,3,0,1,1,1,0,1,1,1,1,1,0,1,1,1,25151.77797051171,384.3333333333333,11
